customer_id,gender,age_group,loyalty_tier,join_date,city,preferred_channel
C0001,F,18-24,Gold,2023-08-02,Bordeaux,Boutique
C0002,F,65+,Gold,2020-10-12,Toulouse,Boutique
C0003,F,18-24,Bronze,2023-04-24,Bordeaux,Boutique
C0004,M,18-24,Silver,2022-10-31,Toulouse,Online
C0005,F,55-64,Bronze,2021-03-27,Paris,Boutique
C0006,F,35-44,Bronze,2023-11-30,Bordeaux,Online
C0007,F,45-54,Bronze,2020-07-28,Lille,Flagship
C0008,F,65+,Silver,2021-06-25,Lyon,Online
C0009,M,35-44,Gold,2020-06-10,Cannes,Online
C0010,M,65+,Bronze,2023-03-28,Bordeaux,Online
C0011,M,18-24,Bronze,2020-06-12,Nantes,Flagship
C0012,F,25-34,Bronze,2024-09-04,Bordeaux,Flagship
C0013,F,55-64,Silver,2021-06-30,Toulouse,Flagship
C0014,M,45-54,Bronze,2021-05-16,Toulouse,Boutique
C0015,F,18-24,Bronze,2023-11-03,Paris,Online
C0016,F,18-24,Bronze,2022-04-01,Cannes,Flagship
C0017,M,65+,Silver,2021-10-06,Nantes,Boutique
C0018,M,25-34,Gold,2021-06-26,Toulouse,Online
C0019,M,45-54,Gold,2024-03-09,Strasbourg,Online
C0020,M,55-64,Silver,2021-03-25,Paris,Boutique
C0021,M,65+,Silver,2020-11-09,Lyon,Online
C0022,M,45-54,Silver,2022-02-20,Toulouse,Boutique
C0023,F,65+,Gold,2023-10-25,Nice,Flagship
C0024,F,35-44,Silver,2021-11-27,Nantes,Boutique
C0025,F,55-64,Gold,2025-05-07,Toulouse,Boutique
C0026,F,65+,Silver,2024-11-17,Bordeaux,Boutique
C0027,M,55-64,Platinum,2022-02-04,Toulouse,Boutique
C0028,F,45-54,Bronze,2023-05-11,Lille,Online
C0029,F,25-34,Gold,2021-05-05,Lyon,Boutique
C0030,F,18-24,Platinum,2024-02-07,Toulouse,Boutique
C0031,F,55-64,Bronze,2020-09-19,Toulouse,Flagship
C0032,M,55-64,Gold,2022-05-16,Bordeaux,Flagship
C0033,F,65+,Silver,2021-09-30,Nantes,Flagship
C0034,F,25-34,Bronze,2022-07-13,Lille,Boutique
C0035,M,25-34,Silver,2023-04-19,Paris,Boutique
C0036,F,25-34,Bronze,2023-12-20,Paris,Online
C0037,M,25-34,Bronze,2020-05-25,Nantes,Boutique
C0038,M,65+,Platinum,2023-01-09,Cannes,Flagship
C0039,M,45-54,Gold,2022-08-26,Bordeaux,Boutique
C0040,F,35-44,Silver,2020-07-17,Nantes,Flagship
C0041,F,18-24,Silver,2020-04-20,Lille,Boutique
C0042,M,25-34,Silver,2021-05-24,Marseille,Online
C0043,F,45-54,Bronze,2021-01-10,Lyon,Online
C0044,M,18-24,Bronze,2024-07-12,Toulouse,Boutique
C0045,F,25-34,Bronze,2025-06-07,Nantes,Online
C0046,F,18-24,Bronze,2021-03-13,Paris,Online
C0047,F,35-44,Silver,2021-06-27,Toulouse,Flagship
C0048,F,25-34,Bronze,2024-01-11,Bordeaux,Boutique
C0049,M,18-24,Gold,2023-04-01,Paris,Boutique
C0050,F,55-64,Platinum,2023-04-11,Toulouse,Boutique
C0051,M,18-24,Gold,2020-04-26,Lyon,Flagship
C0052,M,45-54,Bronze,2020-05-19,Cannes,Boutique
C0053,M,18-24,Silver,2023-03-31,Strasbourg,Flagship
C0054,M,55-64,Bronze,2023-04-10,Nice,Boutique
C0055,F,25-34,Bronze,2023-10-03,Marseille,Flagship
C0056,F,45-54,Bronze,2023-08-14,Lyon,Boutique
C0057,M,55-64,Platinum,2022-07-27,Lyon,Flagship
C0058,M,35-44,Bronze,2021-03-12,Lille,Boutique
C0059,M,35-44,Bronze,2024-12-05,Nantes,Flagship
C0060,F,55-64,Platinum,2023-12-11,Toulouse,Boutique
C0061,M,35-44,Platinum,2023-09-29,Lyon,Boutique
C0062,F,18-24,Gold,2021-06-25,Marseille,Online
C0063,M,25-34,Gold,2021-07-31,Bordeaux,Flagship
C0064,F,55-64,Silver,2023-07-22,Paris,Boutique
C0065,F,35-44,Bronze,2023-07-23,Lille,Boutique
C0066,F,25-34,Gold,2023-07-28,Toulouse,Flagship
C0067,M,18-24,Bronze,2022-05-25,Marseille,Flagship
C0068,F,55-64,Silver,2020-03-14,Strasbourg,Boutique
C0069,F,35-44,Gold,2020-03-26,Paris,Online
C0070,M,65+,Bronze,2021-03-06,Toulouse,Online
C0071,M,65+,Bronze,2025-06-17,Bordeaux,Boutique
C0072,M,45-54,Bronze,2025-06-22,Lille,Online
C0073,M,35-44,Bronze,2024-06-30,Lyon,Online
C0074,F,45-54,Bronze,2024-11-21,Nantes,Online
C0075,M,25-34,Bronze,2021-09-17,Bordeaux,Online
C0076,F,18-24,Platinum,2021-11-03,Nice,Online
C0077,M,45-54,Silver,2023-08-06,Toulouse,Online
C0078,F,18-24,Gold,2025-04-07,Nice,Boutique
C0079,F,18-24,Bronze,2023-04-04,Strasbourg,Online
C0080,F,45-54,Silver,2024-02-01,Toulouse,Boutique
C0081,M,25-34,Bronze,2022-02-27,Strasbourg,Boutique
C0082,M,65+,Gold,2022-11-30,Bordeaux,Online
C0083,F,65+,Platinum,2022-06-02,Cannes,Online
C0084,F,65+,Platinum,2023-09-20,Toulouse,Online
