transaction_id,customer_id,order_date,category,product_line,quantity,unit_price_eur,discount_pct,revenue_eur,channel,reason_code
TXN10437,C0145,2026-03-20,Bracelet,Classic,2,153.62,0.05,291.88,Online,
TXN10522,C0092,2025-01-17,Earrings,Classic,3,42.57,0.05,121.32,Flagship,
TXN10338,C0111,2025-05-02,Bracelet,Signature,1,919.24,0.15,781.35,Online,
TXN10813,C0001,2024-03-12,Necklace,Signature,2,1196.72,0.2,1914.75,Boutique,
TXN10172,C0245,2024-12-05,Necklace,Signature,1,1322.87,0.05,1256.73,Online,
TXN10234,C0039,2026-07-15,Necklace,Classic,1,270.66,0.05,257.13,Boutique,
TXN10340,C0345,2025-05-14,Watch,Limited,1,1258.19,0.1,1132.37,Online,
TXN10599,C0297,2025-08-29,Necklace,Signature,2,354.21,0.1,637.58,Boutique,
TXN10332,C0266,2024-11-19,Earrings,Signature,1,133.92,0.05,127.22,Online,
TXN10885,C0303,2024-08-22,Ring,Bridal,1,148.97,0.0,148.97,Flagship,
TXN10415,C0127,2025-02-18,Earrings,Classic,2,1862.09,0.2,2979.34,Boutique,
TXN10374,C0007,2025-11-02,Ring,Classic,1,425.33,0.1,382.8,Online,
TXN10450,C0344,2024-10-06,Necklace,Classic,1,198.13,0.15,168.41,Online,
TXN10000,C0314,2024-03-08,Necklace,Classic,2,1177.09,0.3,1647.93,Online,
TXN10308,C0247,2026-07-12,Ring,Bridal,3,1528.61,0.2,3668.66,Boutique,
TXN10068,C0132,2026-01-10,Earrings,Classic,1,832.89,0.2,666.31,Online,
TXN10036,C0279,2025-05-20,Watch,Limited,1,498.17,0.05,473.26,Boutique,
TXN10182,C0174,2025-09-20,Watch,Signature,2,338.94,0.1,610.09,Boutique,
TXN10920,X9871,2025-12-20,Ring,Classic,1,145.43,0.0,145.43,Online,
TXN10613,C0280,2025-05-01,Earrings,Classic,1,198.49,0.0,198.49,Online,
TXN10260,C0083,2025-11-30,Bracelet,Limited,3,26.29,0.3,55.21,Boutique,
TXN10202,C0089,2026-06-15,Ring,High Jewelry,1,206.5,0.2,165.2,Boutique,
TXN10544,C0181,2025-04-11,Bracelet,Limited,1,124.27,0.0,124.27,Online,
TXN10692,C0326,2025-03-26,Earrings,Signature,1,1043.08,0.0,1043.08,Boutique,
TXN10609,C0204,2024-08-29,Ring,High Jewelry,2,2721.72,0.3,3810.41,Flagship,
TXN10442,C0034,2024-10-14,Ring,Signature,2,1303.75,0.2,2086.0,Boutique,
TXN10753,C0206,2025-10-27,Watch,Limited,2,371.27,0.15,631.16,Boutique,
TXN10053,C0178,2024-10-09,Ring,Classic,1,1080.36,0.0,1080.36,Boutique,
TXN10044,C0276,2026-02-19,Ring,High Jewelry,1,70.59,0.15,60.0,Boutique,
TXN10358,C0170,2026-05-13,Necklace,High Jewelry,1,857.26,0.3,600.08,Boutique,
TXN10034,C0090,2026-06-22,Earrings,Classic,3,960.86,0.3,2017.81,Flagship,
TXN10725,C0219,2026-05-24,Necklace,High Jewelry,2,2119.87,0.05,4027.75,Boutique,
TXN10464,C0047,2026-04-16,Ring,Signature,3,97.0,0.3,203.7,Boutique,
TXN10006,C0015,2024-02-16,Necklace,Classic,2,280.69,0.1,505.24,Online,
TXN10650,C0048,2025-06-09,Necklace,Classic,1,282.4,0.2,225.92,Online,
TXN10212,C0152,2026-07-17,Bracelet,Limited,1,383.29,0.15,325.8,Online,
TXN10346,C0044,2024-11-12,Earrings,Classic,2,70.36,0.2,112.58,Boutique,
TXN10596,C0294,2026-04-07,Necklace,High Jewelry,1,458.95,0.05,436.0,Boutique,
